Alcohol and Cocaine Period										
No.	Name	Year	Word	Audible	Genres/Keywords	Movies	Read	Heard	Want	Comments
			Count							
176	Morality	2015	10,286	1:01:28	novella psychological thriller crime			1		Collection: The Bazaar of Bad Dreams. Boring description: Woman punches kid
177	Obits	2015	14,229	1:39:56	short-story horror			1		Collection: The Bazaar of Bad Dreams. Boring description: Obituaries can be hilarious
178	Premium Harmony	2015	3,833	26:48:00	short-story horror			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
179	Summer Thunder	2015	5,448	35:58:00	short-story horror		1	1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
180	That Bus Is Another World	2015	3,023	25:59:00	short-story horror			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
181	The Bone Church	2015	2,108	17:25	collection horror fantasy narrative poetry	in development		1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
182	The Dune	2015	4,869	34:51:00	short-story horror			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
183	The Little Green God of Agony	2015		58:30:00	short-story horror			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
184	Cookie Jar	2015		58:30:00	short-story horror			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
185	Tommy	2015	855	8:10	collection confessional poetry			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
186	Under the Weather	2015	6,077	36:48:00	short-story horror			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
187	Ur	2015	20,448	2:22:08	novella science fiction, alternate realities			2		Collection: The Bazaar of Bad Dreams. Boring description: Guy buys pink Kindle
188	End of Watch	2016	118,741	12:53	novel crime suspense mystery murder psychopath telekinesis mind-control suicide	2018 (Mr. Mercedes, season 2) (tv series) (seen 1 time)		2		Sequel is The Outsider. Mind powers. Part 3 of 3 in the Mr. Mercedes trilogy. Part 3 of 7 in the Holly Gibney series. Boring description: (please suggest)
189	Gwendy's Button Box	2017	22,713	2:42	novella horror			1		Box with special powers. Published May 2017. Sequels: Gwendy's Magic Feather and Gwendy's Final Task. Co-written with Richard Chizmar. Although sold as a novel, it's actually a novella. Boring description: Girl pushes buttons on a box
190	Sleeping Beauties	2017	234,642	25:23:00	novel scifi horror suspense fantasy	in development (tv movie) (want)		1		Alternate dimension. Co-written with son Owen King. Boring description: Girls sleep
191	The Outsider	2018	165,444	18:41	novel crime horror	2020 (tv series) (seen 1 time)		1		Sequel is If It Bleeds (novella). Part 4 in the Holly Gibney series. Boring description: (please suggest)
192	Elevation	2018	27,143	3:47	novella horror			1		Alternate physics. The cover says "A Novel", but it's really a novella. Boring description: Guy loses weight then runs in a marathon
193	Laurie	2018			short-story horror			1		Bonus short-story with Elevation with audio book. It's also a free audio download on stephenking.com. Boring description: (please suggest)
194	The Institute	2019	177,976	18:59	novel horror scifi	2025 (tv series) (seen 1 time)		2		kidnapping children with special talents. Shots for Dots! Boring description: Kids see dots
195	In the Tall Grass	2019		1:45	novella horror scifi	2019 (seen 2 times)		1		cowritten with son Joe Hill. Boring description: People walk around in grass
196	Gwendy's Magic Feather	2019		4:37	novel horror			1		Written by Richard Chizmar in the style of Stephen King. Publish date Nov 19, 2019. Sequel to Gwendy's Button Box and followed by Gwendy's Final Task
197	Mr. Harrigan's Phone	2020	29,775		novella horror	2022 (seen 1 time)		1		Collection: If It Bleeds. Boring description: (please suggest)
198	The Life of Chuck	2020	19,054		novella horror	2025 (seen 1 time)		2		Collection: If It Bleeds. Boring description: Man gets sick then dies
199	If It Bleeds	2020	57,024		novella horror			1		Collection: If It Bleeds. Part 5 of 7 in the Holly Gibney series. Boring description: (please suggest)
200	Rat	2020	28,668		novella horror	in development		1		Collection: If It Bleeds. Boring description: (please suggest)
201	Later	2021		6:32	novel horror			1		Boy talks to dead people who can't lie. Boring description: Narrator over uses the word Later
202	Billy Summers	2021		16:57	novel crime	in development		1		Publish date Aug 3, 2021
203	Gwendy's Final Task	2022		7:24	novel horror			1		Cowritten with Richard Chizmar. Publish date Feb 15, 2022. Sequel to Gwendy's Magic feather which is a sequel to Gwendy's Button Box
204	Fairy Tale	2022		24:06:00	novel dark fantasy			1		Publish date Sep 6, 2022
205	Holly	2023			novel crime			1		
206	Two Talented Bastids	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
207	The Fifth Step	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
208	Willie the Weirdo	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
209	Danny Coughlin's Bad Dream	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
210	Finn	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
211	On Slide Inn Road	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
212	Red Screen	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
213	The Turbulence Expert	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
214	Laurie	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
215	Rattlesnakes	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
216	The Dreamers	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
217	The Answer Man	2024			short-story horror			1		Collection: You Like It Darker. Boring description: (please suggest)
