Alcohol and Cocaine Period										
No.	Name	Year	Word	Audible	Genres/Keywords	Movies	Read	Heard	Want	Comments
			Count							
34	Rita Hayworth and Shawshank Redemption	1982	40,535		novel drama prison	1994 (The Shawshank Redemption) (seen 2 times)		1		Collection: Different Seasons. Boring description: Man escapes from jail
35	Apt Pupil	1982	72,864		novel horror	1998 (seen 1 time)	1	1		Collection: Different Seasons. Boring description: Teen chats with his elderly neighbor
36	The Body	1982	59,274		novel drama coming-of-age	1986 (Stand By Me) (seen 3 times)	1	1		Collection: Different Seasons. Boring description: Kids walk to see a dead kid
37	The Breathing Method	1982	25,038		novella horror	2020		1		Collection: Different Seasons. Boring description: (please suggest)
38	Christine	1983	189,905	19:35	novel supernatural horror	1983 (seen 2 times)	1	1		Supernatural. It's the only King book with the sound effect "Punk! Punk! Punk!". This King novel with the word shitter or shitters 67 times. Boring description: Teen repairs an old car
						in development (want)				
39	Beachworld	1985	6,302		short-story scifi horror	2015 2016 2019		1		Collection: Skeleton Crew. Boring description: (please suggest)
40	Big Wheels	1985	5,124		short-story horror			2		Collection: Skeleton Crew. Boring description: (please suggest)
41	Cain Rose Up	1985	2,114		short-story horror	1999 2010 2010 2013 2017 2018		3		Collection: Skeleton Crew. Boring description: College student tests the scope on his rifle
42	For Owen	1985	250		collection horror			1		Collection: Skeleton Crew. Boring description: (please suggest)
43	Gramma	1985	11,811		short-story horror fantasy	1986		1		Collection: Skeleton Crew. Boring description: (please suggest)
						2014 (Mercy)				
44	Here there be Tygers	1985	1,506		short-story horror	2010 2013 2017 2019		1		Collection: Skeleton Crew. Boring description: A student says there's a cat in the boys room
45	Morning Deliveries	1985	1,652		short-story horror			2		Collection: Skeleton Crew. Boring description: Milkman delivers milk and more
46	Mrs. Todd's Shortcut	1985	11,166		short-story fantasy			2		Collection: Skeleton Crew. References The Dark Tower III: The Waste Lands. Boring description: Woman regrets shortcut
47	Nona	1985	13,812		short-story horror			1		Collection: Skeleton Crew. Boring description: (please suggest)
48	Paranoid: A Chant	1985	603		collection horror			1		Collection: Skeleton Crew. References Randall Flagg from The Dark Tower. Boring description: (please suggest)
49	Survivor Type	1985	7,831		short-story horror	2011 2012 2013 2017 2020		1		Collection: Skeleton Crew. Boring description: Man on island gets hungry
50	The Ballad of the Flexible Bullet	1985	20,808		novella fantasy			1		Collection: Skeleton Crew. Boring description: (please suggest)
51	The Jaunt	1985	9,821		short-story horror	in development		3		Collection: Skeleton Crew - SciFi. The episode White Christmas from the series Black Mirror takes inspiration from The Jaunt. There is no bodily transporation (jaunting) but digital copies of people are forced to spend long periods of time with nothing to do. Boring description: Kid goes crazy from boredom
52	The Man Who Would Not Shake Hands	1985	7,556		short-story fantasy	2009 2013		1		Collection: Skeleton Crew. Boring description: (please suggest)
53	The Mist	1985	50,350	5:19	novella horror	2007 (seen 2 times)		1		Collection: Skeleton Crew: Monsters from alternate worlds. Originally published 1980. Boring description: Bad weather forces grocery store shutdown
						2017-2017 (seen 1 time)				
54	The Monkey	1985	14,951		short-story horror	2025		1		Collection: Skeleton Crew. Boring description: (please suggest)
55	The Raft	1985	10,945		short-story horror	1987 (Creepshow 2) (seen 1 time)		2		Collection: Skeleton Crew: Blob-like creature in lake. Boring description: Teens swim to raft and decide to stay
56	The Reach	1985	8,703		short-story horror	2018		1		Collection: Skeleton Crew. Boring description: Old lady walks across the ice
57	The Reaper's Image	1985	2,647		short-story horror	2012 2013 in development		1		Collection: Skeleton Crew. Boring description: (please suggest)
58	The Wedding Gig	1985	5,982		short-story horror			1		Collection: Skeleton Crew. Boring description: (please suggest)
59	Uncle Otto's Truck	1985	6,988		short-story horror	2019		1		Collection: Skeleton Crew. Boring description: (please suggest)
60	Word Processor of the Gods	1985	7,085		short-story horror	1984		1		Collection: Skeleton Crew. Boring description: Man breaks his word processor
61	Pet Sematary	1983	143,094	15:41	novel horror resurrection	1989 (seen 1 time)		2		Supernatural - raise the dead. Boring description: Man buries pet
						1992 (Pet Sematary II) (seen 1 time)				
						2019 (seen 1 time)				
62	Cycle of the Werewolf	1983	15,904		novella gothic horror werewolf	1985 (Silver Bullet) (seen 1 time)	1			Werewolf. There is also a picture book. Boring description: Crippled boy gets help from uncle
						in development				
63	The Talisman	1984	261,841	28:00:00	novel dark fantasy werewolves gunslinger	in development		1		Parallel universes and werewolves. Sequel: Black House. Has the most occurrences of the word axiomatic with 12 times. Boring description: Runaway child drinks cheap wine and thinks he's in Narnia
64	Thinner (Bachman)	1984	95,716	10:07	novel horror curses	1996 (seen 2 times)		1		Gypsy Magic. Boring description: Man loses weight
65	IT	1986	441,156	44:46:00	novel horror thriller coming-of-age creature mind-control	1996 (tv mini-series) (seen 2 times)		3		Mind powers, monster and alternate universe. Boring description: Kids play in sewer and meet a clown
						1998 (Woh) (tv mini-series)				
						2017 (seen 2 times)				
						2019 (It: Chapter Two) (seen 1 time)				
66	The Eyes of the Dragon	1987	103,523	10:23	novel fantasy quasi-medieval	in development		1		Alternate universe. Boring description: The study of patience, reptiles, and other uses for dinner napkins, and a guy gets a dollhouse
67	The Dark Tower: The Drawing of the Three	1987	125,544	12:47	novel scifi horror fantasy western gunslinger			1		Part II. Alternate universes. Boring description: Man opens some doors
68	Misery	1987	112,409	12:12	novel psychological horror	1990 (seen 2 times)		3		Based in reality. Boring description: Man writes book from bed.
69	The Tommyknockers	1987	256,253	27:43:00	novel scifi	1993 (tv mini-series) (seen 1 time)		1		Aliens and Mind powers. The only King novel to feature vagina tentacles. Boring description: Woman digs up large piece of metal
						in development (want)				
70	The Dark Half	1989	153,897	15:14	novel psychological horror	1993 (seen 2 times)		1		Possibly a malevolent spirit, or could be based in the real world as an alternate personality. Boring description: Long lost twin is an asshole
71	The Stand: The Complete & Uncut Edition	1990	467,812	47:47:00	novel post apocalyptic	1994 (tv mini-series) (seen 2 times)		1		Mind powers and alternate universes. Has the word cordwood 6 times. Boring description: Really bad flu season then people walk to Vegas and do nothing when they arrive
						2020 (tv mini-series) (seen 1 time)				
72	Brooklyn August	1993	308		collection horror			1		Collection: Nightmares & Dreamscapes. Boring description: Baseball poetry
73	Chattery Teeth	1993	12,647		short-story horror			1		Collection: Nightmares & Dreamscapes. Boring description: Man saved by teeth
74	Crouch End	1993	10,574		short-story horror	2006		1		Collection: Nightmares & Dreamscapes. Boring description: A couple goes for a walk in England
75	Dedication	1993	17,446		short-story horror	2017 2019 in development		1		Collection: Nightmares & Dreamscapes. Boring description: Maid cleans author's hotel room
76	Dolan's Cadillac	1993	19,303		novella horror	2010 (seen 1 time)		1		Collection: Nightmares & Dreamscapes. Boring description: Man buries car
77	Head Down	1993	19,541		collection horror			1		Collection: Nightmares & Dreamscapes. Boring description: Stephen King's son plays baseball
78	Home Delivery	1993	10,830		short-story horror	2006 in development		1		Collection: Nightmares & Dreamscapes. Boring description: Woman must deliver baby during zombie apocalypse
79	It Grows on You	1993	6,479		short-story horror fantasy			1		Collection: Nightmares & Dreamscapes. Boring description: (please suggest)
80	My Pretty Pony	1993	10,259		short-story horror	2009 2017 2017		1		Collection: Nightmares & Dreamscapes. Boring description: Old man gives grandson pocket watch
81	Popsy	1993	4,789		short-story horror	2014 2017 in development		1		Collection: Nightmares & Dreamscapes. Boring description: Kidnapped boy bites
82	Rainy Season	1993	8,129		short-story horror	2002		1		Collection: Nightmares & Dreamscapes. Boring description: It rains frogs
83	Sneakers	1993	9,792		short-story horror			1		Collection: Nightmares & Dreamscapes. Boring description: Man notices sneakers in next bathroom stall
84	Sorry, Right Number	1993	5,704		collection scifi drama	2005		1		Collection: Nightmares & Dreamscapes. Boring description: Woman tries to figure out who called
85	Suffer the Little Children	1993	4,227		short-story horror	2006 in development		1		Collection: Nightmares & Dreamscapes. Boring description: Kids stare at their teacher
86	The Beggar and the Diamond	1993	1,309		short-story horror		1	1		Collection: Nightmares & Dreamscapes. Boring description: Unhappy man decides to be happy
87	The Doctor's Case	1993	12,692		short-story horror	2013 2018 2019		1		Collection: Nightmares & Dreamscapes. Boring description: A dying rich man changes his will for wife and 3 sons
88	The End of the Whole Mess	1993	9,552		short-story fantasy drama	2006 (seen 1 time)		1		Collection: Nightmares & Dreamscapes. Boring description: Converting the world to pacifists backfires
89	The Fifth Quarter	1993	5,674		short-story horror	2006		1		Collection: Nightmares & Dreamscapes. Boring description: Man tries to get map to stolen money
90	The House on Maple Street	1993	12,786		short-story scifi			1		Collection: Nightmares & Dreamscapes. Boring description: Kids figure out way to get rid of stepdad
91	The Moving Finger	1993	13,322		short-story horror			1		Collection: Nightmares & Dreamscapes. Boring description: Man fights with finger in sink
92	The Night Flier	1993	13,307		short-story horror	1997		1		Collection: Nightmares & Dreamscapes. Boring description: Vampires flies a plane
93	The Ten O'Clock People	1993	19,262		short-story horror	in development		1		Collection: Nightmares & Dreamscapes. Boring description: If you reduce how much you smoke, you can see bat people
94	Umney's Last Case	1993	19,243		short-story scifi mystery time-travel	2006 2006		1		Collection: Nightmares & Dreamscapes. Boring description: Writer and his character switch places ... twice
95	You Know They Got a Hell of a Band	1993	16,180		short-story horror	2006 (seen 1 time)		1		Collection: Nightmares & Dreamscapes. Boring description: A couple find the literal Rock and Roll Heaven
96	The Langoliers	1990	88,399		novella scifi horror	1995 (tv mini-series) (seen 2 times)		2		Collection: Four Past Midnight. Boring description: Plane lands at empty airport
97	Secret Window, Secret Garden	1990	58,361		novella horror	2004		2		Collection: Four Past Midnight. Boring description: Author plagiarizes
98	The Library Policeman	1990	78,327		novella horror			2		Collection: Four Past Midnight. The only King novel with the word Thdeady. Boring description: (please suggest)
99	The Sun Dog	1990	61,654		novella horror			1		Collection: Four Past Midnight. Boring description: Kid gets a camera for his birthday
100	The Dark Tower: The Waste Lands	1991	171,879	18:14	novel scifi horror fantasy western gunslinger			1		Part III. Alternate worlds. Referenced in Mrs. Todd's Shortcut Boring description: Blain is a pain ... and a train
Detox and Sober Period										
No.	Name	Year	Word	Audible	Genres/Keywords	Movies	Read	Heard	Want	Comments
			Count							
101	Needful Things	1991	251,219	25:11:00	novel horror crime magic	1993 (seen 1 time)		1		Magic. Boring description: Man opens up new shop, sells things
102	Gerald's Game	1992	124,349	13:34	novel suspense psychological horror bondage	2017 (seen 1 time)		1		Mind powers (twinner novel: psychic connection with Dolores Claiborne (novel of same name) during eclipse). The Netflix movie was much better than I anticipated. There is so much more to it than we see in the trailer. Boring description: Woman spends the whole weekend in bed
103	Dolores Claiborne	1992	94,342	9:15	novel psychological thriller	1995 (seen 1 time)		1		Mind powers (twinner novel: psychic connection with the little girl in Gerald's Game during the eclipse). No chapters. No sections. All one unbroken narritive. Boring description: Woman talks to police
